x,y,z
491519.7912999997,5918795.233999999,3.0
491519.7142000003,5918796.231000001,3.0
491519.63719999976,5918797.2281,3.0
491519.56010000035,5918798.225099999,3.0
491519.48309999984,5918799.222100001,3.0
491519.4060000004,5918800.2192,3.0
491519.3289999999,5918801.2162,3.0
491519.25189999957,5918802.213199999,3.0
491519.1749,5918803.210200001,3.0
491519.09779999964,5918804.2073,3.0
491519.02080000006,5918805.204299999,3.0
491518.9436999997,5918806.201300001,3.0
491518.86670000013,5918807.1983,3.0
491518.7896999996,5918808.1954,3.0
491518.7126000002,5918809.192399999,3.0
491518.6355999997,5918810.1894000005,3.0
491518.5585000003,5918811.1865,3.0
491518.48149999976,5918812.183499999,3.0
491518.40440000035,5918813.180500001,3.0
491518.32739999983,5918814.1775,3.0
491518.2503000004,5918815.1746,3.0
491518.1732999999,5918816.171599999,3.0
491518.09619999956,5918817.1686,3.0
491518.0192,5918818.1656,3.0
491517.94209999964,5918819.162699999,3.0
491517.86510000005,5918820.159700001,3.0
491517.7879999997,5918821.1567,3.0
491517.7110000001,5918822.1537999995,3.0
491517.6338999998,5918823.150800001,3.0
491517.5569000002,5918824.1478,3.0
491517.47979999986,5918825.1448,3.0
491517.4028000003,5918826.141899999,3.0
491517.3256999999,5918827.138900001,3.0
491517.24870000035,5918828.1359,3.0
491517.1716,5918829.1329,3.0
491517.0946000004,5918830.130000001,3.0
491517.0175999999,5918831.127,3.0
491516.94049999956,5918832.124,3.0
491516.8635,5918833.121099999,3.0
491516.78639999963,5918834.118100001,3.0
491516.70940000005,5918835.1151,3.0
491516.6322999997,5918836.1121,3.0
491516.5553000001,5918837.109200001,3.0
491516.4781999998,5918838.1062,3.0
491516.4012000002,5918839.1032,3.0
491516.32409999985,5918840.100299999,3.0
491516.24710000027,5918841.0973000005,3.0
491516.1699999999,5918842.0943,3.0
491516.09300000034,5918843.0912999995,3.0
491516.0159,5918844.088400001,3.0
491515.9389000004,5918845.0854,3.0
491515.8618000001,5918846.0824,3.0
491515.78479999956,5918847.079399999,3.0
491515.70770000014,5918848.0765,3.0
491515.63069999963,5918849.0735,3.0
491515.5536000002,5918850.070499999,3.0
491515.4765999997,5918851.067600001,-1.0
491515.3995000003,5918852.0646,-1.0
491515.3224999998,5918853.0616,-1.0
491515.2455000002,5918854.058599999,-1.0
491515.16839999985,5918855.0557,-1.0
491515.09140000027,5918856.0527,-1.0
491515.0142999999,5918857.049699999,-1.0
491514.93730000034,5918858.046700001,-1.0
491514.8602,5918859.0438,-1.0
491514.7832000004,5918860.0408,-1.0
491514.70610000007,5918861.037799999,-1.0
491514.62909999955,5918862.0349,-1.0
491514.55200000014,5918863.0319,-1.0
491514.4749999996,5918864.028899999,-1.0
491514.3979000002,5918865.025900001,-1.0
491514.3208999997,5918866.023,-1.0
491514.2438000003,5918867.02,-1.0
491514.1667999998,5918868.017000001,-1.0
491514.08970000036,5918869.014,-1.0
491514.01269999985,5918870.0111,-1.0
491513.93560000043,5918871.008099999,-1.0
491513.8585999999,5918872.005100001,-1.0
491513.7814999996,5918873.0022,-1.0
491513.7045,5918873.9991999995,-1.0
491513.62739999965,5918874.996200001,-1.0
491513.55040000007,5918875.9932,-1.0
491513.47339999955,5918876.9903,-1.0
491513.39630000014,5918877.987299999,-1.0
491513.3192999996,5918878.984300001,-1.0
491513.2422000002,5918879.9813,-1.0
491513.1651999997,5918880.978399999,-1.0
491513.0881000003,5918881.975400001,-1.0
491513.01109999977,5918882.9724,-1.0
491512.93400000036,5918883.9695,-1.0
491512.85699999984,5918884.966499999,-1.0
