x,y,z
474773.5133999996,5927994.1106,-16
474748.8699000003,5928021.709000001,-16
474724.6375000002,5928049.6691,-16
474701.45969999954,5928077.2149,-16
474678.68099999987,5928105.091499999,-16
474656.30599999987,5928133.293199999,-16
474634.33939999994,5928161.814200001,-16
474612.19299999997,5928191.4539,-16
474591.06850000005,5928220.6041,-16
474569.79700000025,5928250.877800001,-16
474549.53249999974,5928280.632300001,-16
474529.69859999977,5928310.6755,-16
474510.2993999999,5928341.0012,-16
474490.81850000005,5928372.457,-16
474477.9201999996,5928393.8726,-16
474465.7399000004,5928414.551999999,-16
474453.7587000001,5928435.3473000005,-16
474441.9776999997,5928456.2567,-16
474430.3979000002,5928477.2783,-16
474418.5508000003,5928499.2929,-16
474407.3853000002,5928520.5373,-16
474396.42420000024,5928541.8879,-16
474385.66860000044,5928563.342800001,-16
474375.1194000002,5928584.9,-16
474364.77770000044,5928606.557399999,-16
474354.22670000046,5928629.2217,-16
474343.9028000003,5928651.9904,-16
474334.20660000015,5928673.944399999,-16
474324.7215999998,5928695.990499999,-16
474315.44859999977,5928718.126599999,-16
474306.3886000002,5928740.3508,-16
474297.1783999996,5928763.5922,-16
474288.5557000004,5928785.989700001,-16
474280.1484000003,5928808.468800001,-16
474271.62069999985,5928831.9693,-16
474263.6556000002,5928854.608899999,-16
474255.5900999997,5928878.272,-16
474248.07019999996,5928901.0634,-16
474240.76939999964,5928923.925899999,-16
474233.68850000016,5928946.8575,-16
474226.82799999975,5928969.856000001,-16
474219.9167999998,5928993.8816,-16
474213.24619999994,5929017.975099999,-16
474207.0694000004,5929041.1665,-16
474201.1155000003,5929064.416200001,-16
474195.3850999996,5929087.721899999,-16
474189.87870000023,5929111.081599999,-16
474184.5968000004,5929134.493100001,-16
474179.3339999998,5929158.9328000005,-16
474174.5120000001,5929182.443299999,-16
474169.72919999994,5929206.9814,-16
474165.3688000003,5929230.581900001,-16
474161.2352,5929254.223099999,-16
474157.32880000025,5929277.903000001,-16
474153.6497999998,5929301.619200001,-16
474150.1986999996,5929325.3697,-16
474146.9757000003,5929349.1522,-16
474143.8613999998,5929373.9574,-16
474140.9952999996,5929398.7925,-16
474138.47759999987,5929422.6599,-16
